num_cnpj_agente_distribuidora,sig_agente_distribuidora,nom_agente_distribuidora,nome_normalizado,uf,regiao,fonte_geografia,observacao
27485069000109,ELFSM,EMPRESA LUZ E FORÇA SANTA MARIA S/A,empresa luz e forca santa maria s/a,,,,
19527639000158,EMG,ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,energisa minas rio - distribuidora de energia s.a.,,,,
19527639000158,EMR,ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,energisa minas rio - distribuidora de energia s.a.,,,,
15413826000150,EMS,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,energisa mato grosso do sul - distribuidora de energia s.a.,,,,
03467321000199,EMT,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,energisa mato grosso - distribuidora de energia s.a.,,,,
03467321000199,EMT,Energisa Mato Grosso - Distribuidora de Energia S.A.,energisa mato grosso - distribuidora de energia s.a.,,,,
07047251000170,ENEL CE,COMPANHIA ENERGETICA DO CEARA,companhia energetica do ceara,,,,
07047251000170,ENEL CE,COMPANHIA ENERGÉTICA DO CEARÁ,companhia energetica do ceara,,,,
33050071000158,ENEL RJ,AMPLA ENERGIA E SERVICOS S.A.,ampla energia e servicos s.a.,,,,
33050071000158,ENEL RJ,AMPLA ENERGIA E SERVIÇOS S.A.,ampla energia e servicos s.a.,,,,
13017462000163,ENERGIPE,Empresa Energética de Sergipe S/A.,empresa energetica de sergipe s/a.,,,,
33249046000106,ENF,ENERGISA NOVA FRIBURGO - DISTRIBUIDORA DE ENERGIA S.A.,energisa nova friburgo - distribuidora de energia s.a.,,,,
09095183000140,EPB,ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A,energisa paraiba - distribuidora de energia s.a,,,,
09095183000140,EPB,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S.A,energisa paraiba - distribuidora de energia s.a,,,,
12272084000100,EQUATORIAL AL,EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,equatorial alagoas distribuidora de energia s.a.,,,,
01543032000104,EQUATORIAL GO,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A,equatorial goias distribuidora de energia s/a,,,,
06272793000184,EQUATORIAL MA,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A,equatorial maranhao distribuidora de energia s.a,,,,
04895728000180,EQUATORIAL PA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,equatorial para distribuidora de energia s.a.,,,,
06840748000189,EQUATORIAL PI,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,equatorial piaui distribuidora de energia s.a,,,,
05914650000166,ERO,ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S.A,energisa rondonia - distribuidora de energia s.a,,,,
13017462000163,ESE,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A,energisa sergipe - distribuidora de energia s.a,,,,
07282377000120,ESS,ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S.A.,energisa sul-sudeste - distribuidora de energia s.a.,,,,
25086034000171,ETO,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,energisa tocantins distribuidora de energia s.a.,,,,
12272084000100,Equatorial AL,EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,equatorial alagoas distribuidora de energia s.a.,,,,
01543032000104,Equatorial GO,EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S/A,equatorial goias distribuidora de energia s/a,,,,
06272793000184,Equatorial MA,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A,equatorial maranhao distribuidora de energia s.a,,,,
04895728000180,Equatorial PA,EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,equatorial para distribuidora de energia s.a.,,,,
06840748000189,Equatorial PI,EQUATORIAL PIAUÍ DISTRIBUIDORA DE ENERGIA S.A,equatorial piaui distribuidora de energia s.a,,,,
79850574000109,FORCEL,FORÇA E LUZ CORONEL VIVIDA LTDA,forca e luz coronel vivida ltda,,,,
91982348000187,HIDROPAN,HIDROPAN DISTRIBUIÇÃO DE ENERGIA S.A.,hidropan distribuicao de energia s.a.,,,,
04815734000180,JARI,"Jari Celulose, Papel e Embalagens S.A.","jari celulose, papel e embalagens s.a.",,,,
60444437000146,LIGHT,LIGHT SERVIÇOS DE ELETRICIDADE S A,light servicos de eletricidade s a,,,,
60444437000146,LIGHT SESA,LIGHT SERVICOS DE ELETRICIDADE S A,light servicos de eletricidade s a,,,,
02341467100020,MANAUS-ENERGIA,Manaus Energia S/A,manaus energia s/a,,,,
97578090000134,MUXENERGIA,MUXFELDT MARIN E CIA LTDA,muxfeldt marin e cia ltda,,,,
07522669000192,Neoenergia Brasília,NEOENERGIA DISTRIBUICAO BRASILIA S.A.,neoenergia distribuicao brasilia s.a.,,,,
10835932000108,Neoenergia PE,COMPANHIA ENERGETICA DE PERNAMBUCO,companhia energetica de pernambuco,,,,
89435598000155,Não Informado,CRERAL - COOPERATIVA REGIONAL DE ELETRIFICACAO RURAL DO ALTO URUGUAI,creral - cooperativa regional de eletrificacao rural do alto uruguai,,,,
79850574000109,PACTO ENERGIA PR,FORCA E LUZ CORONEL VIVIDA LTDA,forca e luz coronel vivida ltda,,,,
79850574000109,PACTO ENERGIA PR,FORÇA E LUZ CORONEL VIVIDA LTDA,forca e luz coronel vivida ltda,,,,
02016439000138,RGE,RIO GRANDE ENERGIA SA,rio grande energia sa,,,,
02016440000162,RGE SUL,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,rge sul distribuidora de energia s.a.,,,,
09095183000140,SAELPA,Saelpa S/A de Eletrificação da Paraíba,saelpa s/a de eletrificacao da paraiba,,,,
13255658000196,SULGIPE,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,companhia sul sergipana de eletricidade,,,,
89889604000144,UHENPAL,NOVA PALMA ENERGIA LTDA,nova palma energia ltda,,,,
